Stock,Date,Close,Daily%change
AMZN,1/6/2026 16:00:00,240.93,0.03376812838
AMZN,1/7/2026 16:00:00,241.56,0.002614867389
AMZN,1/8/2026 16:00:00,246.29,0.01958105647
AMZN,1/9/2026 16:00:00,247.38,0.004425677047
AMZN,1/12/2026 16:00:00,246.47,-0.003678551217
AMZN,1/13/2026 16:00:00,242.6,-0.01570170812
AMZN,1/14/2026 16:00:00,236.65,-0.02452596867
AMZN,1/15/2026 16:00:00,238.18,0.006465244031
AMZN,1/16/2026 16:00:00,239.12,0.003946595012
AMZN,1/20/2026 16:00:00,231,-0.03395784543
AMZN,1/21/2026 16:00:00,231.31,0.001341991342
AMZN,1/22/2026 16:00:00,234.34,0.01309930396
AMZN,1/23/2026 16:00:00,239.16,0.02056840488
AMZN,1/26/2026 16:00:00,238.42,-0.003094162903
AMZN,1/27/2026 16:00:00,244.68,0.02625618656
AMZN,1/28/2026 16:00:00,243.01,-0.006825241131
AMZN,1/29/2026 16:00:00,241.73,-0.005267272952
AMZN,1/30/2026 16:00:00,239.3,-0.01005253796
AMZN,2/2/2026 16:00:00,242.96,0.01529460928
AMZN,2/3/2026 16:00:00,238.62,-0.01786302272
AMZN,2/4/2026 16:00:00,232.99,-0.02359399883
AMZN,2/5/2026 16:00:00,222.69,-0.04420790592
AMZN,2/6/2026 16:00:00,210.32,-0.05554807131
AMZN,2/9/2026 16:00:00,208.72,-0.007607455306
AMZN,2/10/2026 16:00:00,206.96,-0.008432349559
AMZN,2/11/2026 16:00:00,204.08,-0.01391573251
AMZN,2/12/2026 16:00:00,199.6,-0.02195217562
AMZN,2/13/2026 16:00:00,198.79,-0.004058116232
AMZN,2/17/2026 16:00:00,201.15,0.01187182454
AMZN,2/18/2026 16:00:00,204.79,0.0180959483
AMZN,2/19/2026 16:00:00,204.86,0.0003418135651
AMZN,2/20/2026 16:00:00,210.11,0.02562725764
AMZN,2/23/2026 16:00:00,205.27,-0.02303555281
AMZN,2/24/2026 16:00:00,208.56,0.01602767087
AMZN,2/25/2026 16:00:00,210.64,0.009973149214
AMZN,2/26/2026 16:00:00,207.92,-0.01291302697
AMZN,2/27/2026 16:00:00,210,0.01000384763
AMZN,3/2/2026 16:00:00,208.39,-0.007666666667
AMZN,3/3/2026 16:00:00,208.73,0.001631556217
AMZN,3/4/2026 16:00:00,216.82,0.03875820438
AMZN,3/5/2026 16:00:00,218.94,0.009777695785
AMZN,3/6/2026 16:00:00,213.21,-0.02617155385
AMZN,3/9/2026 16:00:00,213.49,0.001313259228
AMZN,3/10/2026 16:00:00,214.33,0.00393461052
AMZN,3/11/2026 16:00:00,212.65,-0.007838380068
AMZN,3/12/2026 16:00:00,209.53,-0.01467199624
AMZN,3/13/2026 16:00:00,207.67,-0.008877010452
AMZN,3/16/2026 16:00:00,211.74,0.01959840131
AMZN,3/17/2026 16:00:00,215.2,0.01634079532
AMZN,3/18/2026 16:00:00,209.87,-0.02476765799
AMZN,3/19/2026 16:00:00,208.76,-0.005288988421
AMZN,3/20/2026 16:00:00,205.37,-0.01623874305
AMZN,3/23/2026 16:00:00,210.14,0.02322637191
AMZN,3/24/2026 16:00:00,207.24,-0.01380032359
AMZN,3/25/2026 16:00:00,211.71,0.02156919514
AMZN,3/26/2026 16:00:00,207.54,-0.019696755
AMZN,3/27/2026 16:00:00,199.34,-0.03951045582
AMZN,3/30/2026 16:00:00,200.95,0.008076652955
AMZN,3/31/2026 16:00:00,208.27,0.03642697188
AMZN,4/1/2026 16:00:00,210.57,0.01104335718
AMZN,4/2/2026 16:00:00,209.77,-0.003799211664
AMZN,4/6/2026 16:00:00,212.79,0.01439672022
AMZN,4/7/2026 16:00:00,213.77,0.004605479581
AMZN,4/8/2026 16:00:00,221.25,0.03499087805
AMZN,4/9/2026 16:00:00,233.65,0.05604519774
AMZN,4/10/2026 16:00:00,238.38,0.02024395463
AMZN,4/13/2026 16:00:00,239.89,0.006334424029
AMZN,4/14/2026 16:00:00,249.02,0.03805911043
AMZN,4/15/2026 16:00:00,248.5,-0.002088185688
AMZN,4/16/2026 16:00:00,249.7,0.004828973843
AMZN,4/17/2026 16:00:00,250.56,0.00344413296
AMZN,4/20/2026 16:00:00,248.28,-0.009099616858
AMZN,4/21/2026 16:00:00,249.91,0.006565168358
AMZN,4/22/2026 16:00:00,255.36,0.02180785083
AMZN,4/23/2026 16:00:00,255.08,-0.001096491228
AMZN,4/24/2026 16:00:00,263.99,0.03493021797
AMZN,4/27/2026 16:00:00,261.12,-0.01087162393
AMZN,4/28/2026 16:00:00,259.7,-0.005438112745
AMZN,4/29/2026 16:00:00,263.04,0.01286099345
AMZN,4/30/2026 16:00:00,265.06,0.007679440389
AMZN,5/1/2026 16:00:00,268.26,0.01984489051
Stock,Date,Close,
TSLA,5/2/2025 16:00:00,287.21,
TSLA,5/5/2025 16:00:00,280.26,-0.02419832179
TSLA,5/6/2025 16:00:00,275.35,-0.01751944623
TSLA,5/7/2025 16:00:00,276.22,0.003159615035
TSLA,5/8/2025 16:00:00,284.82,0.03113460285
TSLA,5/9/2025 16:00:00,298.26,0.04718769749
TSLA,5/12/2025 16:00:00,318.38,0.06745792262
TSLA,5/13/2025 16:00:00,334.07,0.04928073371
TSLA,5/14/2025 16:00:00,347.68,0.04073996468
TSLA,5/15/2025 16:00:00,342.82,-0.01397837092
TSLA,5/16/2025 16:00:00,349.98,0.02088559594
TSLA,5/19/2025 16:00:00,342.09,-0.02254414538
